starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 19 20:25:25 2018	1516393525	81	127	207	126
Fri Jan 19 20:25:30 2018	1516393530	59	149	208	148
Fri Jan 19 20:25:48 2018	1516393548	63	145	208	145
Fri Jan 19 20:25:36 2018	1516393536	58	151	209	150
Fri Jan 19 20:26:14 2018	1516393574	132	81	213	81
Fri Jan 19 20:25:32 2018	1516393532	53	165	218	165
Fri Jan 19 20:25:45 2018	1516393545	92	130	221	130
Fri Jan 19 20:25:29 2018	1516393529	62	169	231	169
Fri Jan 19 20:25:30 2018	1516393530	59	173	232	172
Fri Jan 19 20:26:05 2018	1516393565	108	129	237	128
Fri Jan 19 20:25:25 2018	1516393525	77	166	244	166
Fri Jan 19 20:25:55 2018	1516393555	103	144	247	144
Fri Jan 19 20:25:46 2018	1516393546	104	162	265	162
Fri Jan 19 20:25:51 2018	1516393551	53	227	279	226
Fri Jan 19 20:25:32 2018	1516393532	56	252	308	251
Fri Jan 19 20:25:33 2018	1516393533	68	240	308	240
Fri Jan 19 20:25:33 2018	1516393533	54	277	332	277
Fri Jan 19 20:25:28 2018	1516393528	55	327	382	327
Fri Jan 19 20:25:26 2018	1516393526	53	331	385	331
Fri Jan 19 20:25:36 2018	1516393536	56	350	406	350
Fri Jan 19 20:26:13 2018	1516393573	62	354	416	354
Fri Jan 19 20:25:58 2018	1516393558	53	379	433	379
Fri Jan 19 20:25:24 2018	1516393524	55	378	433	378
Fri Jan 19 20:25:29 2018	1516393529	49	389	438	388
Fri Jan 19 20:25:22 2018	1516393522	55	383	438	383
Fri Jan 19 20:25:47 2018	1516393547	57	382	438	381
Fri Jan 19 20:25:52 2018	1516393552	53	392	445	391
Fri Jan 19 20:26:06 2018	1516393566	61	389	450	389
Fri Jan 19 20:25:22 2018	1516393522	55	395	450	394
Fri Jan 19 20:25:42 2018	1516393542	55	400	456	400
Fri Jan 19 20:25:31 2018	1516393531	54	433	487	433
Fri Jan 19 20:25:30 2018	1516393530	59	435	493	434
Fri Jan 19 20:25:43 2018	1516393543	63	433	495	432
Fri Jan 19 20:25:38 2018	1516393538	56	443	499	443
Fri Jan 19 20:25:32 2018	1516393532	53	464	517	463
Fri Jan 19 20:26:20 2018	1516393580	56	509	565	509
Fri Jan 19 20:25:35 2018	1516393535	105	482	587	482
Fri Jan 19 20:26:17 2018	1516393577	57	537	594	536
Fri Jan 19 20:25:26 2018	1516393526	87	512	599	512
Fri Jan 19 20:26:03 2018	1516393563	54	547	602	58
Fri Jan 19 20:25:23 2018	1516393523	60	554	614	554
Fri Jan 19 20:25:28 2018	1516393528	60	554	614	554
Fri Jan 19 20:25:24 2018	1516393524	77	545	622	545
Fri Jan 19 20:25:35 2018	1516393535	131	508	639	508
Fri Jan 19 20:26:15 2018	1516393575	62	597	659	597
Fri Jan 19 20:26:02 2018	1516393562	56	633	689	633
Fri Jan 19 20:25:27 2018	1516393527	56	714	770	714
Fri Jan 19 20:25:34 2018	1516393534	55	744	800	744
Fri Jan 19 20:25:50 2018	1516393550	55	753	808	752
Fri Jan 19 20:25:52 2018	1516393552	59	898	957	897
Fri Jan 19 20:25:20 2018	1516393520	106	1343	1448	1342
