starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 20 08:15:34 2018	1516436134	308	430	738	276
Sat Jan 20 08:16:03 2018	1516436163	334	403	738	169
Sat Jan 20 08:15:13 2018	1516436113	318	419	738	405
Sat Jan 20 08:16:03 2018	1516436163	334	404	738	170
Sat Jan 20 08:15:34 2018	1516436134	308	430	738	276
Sat Jan 20 08:15:34 2018	1516436134	308	429	738	275
Sat Jan 20 08:16:00 2018	1516436160	403	335	738	229
Sat Jan 20 08:16:00 2018	1516436160	405	334	738	228
Sat Jan 20 08:15:38 2018	1516436138	339	400	738	383
Sat Jan 20 08:15:14 2018	1516436114	282	456	738	192
Sat Jan 20 08:15:34 2018	1516436134	307	431	738	278
Sat Jan 20 08:15:34 2018	1516436134	309	430	738	277
Sat Jan 20 08:16:00 2018	1516436160	403	335	738	298
Sat Jan 20 08:15:38 2018	1516436138	418	320	738	255
Sat Jan 20 08:15:34 2018	1516436134	308	431	739	277
Sat Jan 20 08:15:18 2018	1516436118	531	208	739	117
Sat Jan 20 08:15:13 2018	1516436113	323	416	739	247
Sat Jan 20 08:15:13 2018	1516436113	323	416	739	237
Sat Jan 20 08:15:13 2018	1516436113	323	416	739	179
Sat Jan 20 08:16:06 2018	1516436166	359	381	739	181
Sat Jan 20 08:16:00 2018	1516436160	404	335	739	298
Sat Jan 20 08:15:14 2018	1516436114	307	433	739	169
Sat Jan 20 08:15:34 2018	1516436134	309	431	739	278
Sat Jan 20 08:15:37 2018	1516436137	360	379	739	259
Sat Jan 20 08:15:06 2018	1516436106	484	256	739	245
Sat Jan 20 08:15:13 2018	1516436113	323	416	740	180
Sat Jan 20 08:15:07 2018	1516436107	393	347	740	88
Sat Jan 20 08:16:29 2018	1516436189	287	452	740	446
Sat Jan 20 08:15:07 2018	1516436107	393	346	740	88
Sat Jan 20 08:15:02 2018	1516436102	289	451	740	421
Sat Jan 20 08:16:00 2018	1516436160	405	335	740	102
Sat Jan 20 08:16:06 2018	1516436166	360	380	740	179
Sat Jan 20 08:15:44 2018	1516436144	322	418	740	400
Sat Jan 20 08:15:27 2018	1516436127	286	454	740	138
Sat Jan 20 08:16:00 2018	1516436160	404	336	740	81
Sat Jan 20 08:15:06 2018	1516436106	485	255	741	239
Sat Jan 20 08:16:29 2018	1516436189	293	448	741	442
Sat Jan 20 08:15:27 2018	1516436127	287	454	741	138
Sat Jan 20 08:15:07 2018	1516436107	394	347	741	158
Sat Jan 20 08:15:07 2018	1516436107	394	347	741	160
Sat Jan 20 08:15:27 2018	1516436127	287	454	741	138
Sat Jan 20 08:15:48 2018	1516436148	500	242	741	140
Sat Jan 20 08:15:13 2018	1516436113	323	418	741	370
Sat Jan 20 08:16:06 2018	1516436166	361	380	742	178
Sat Jan 20 08:16:06 2018	1516436166	360	381	742	180
Sat Jan 20 08:16:27 2018	1516436187	250	492	742	226
Sat Jan 20 08:16:06 2018	1516436166	360	382	742	182
Sat Jan 20 08:16:06 2018	1516436166	361	382	742	154
Sat Jan 20 08:16:32 2018	1516436192	399	343	742	63
Sat Jan 20 08:16:06 2018	1516436166	361	381	742	181
Sat Jan 20 08:16:06 2018	1516436166	359	383	742	184
Sat Jan 20 08:16:06 2018	1516436166	361	382	743	180
Sat Jan 20 08:15:28 2018	1516436128	356	387	743	201
Sat Jan 20 08:15:07 2018	1516436107	393	349	743	338
Sat Jan 20 08:15:06 2018	1516436106	486	257	743	247
Sat Jan 20 08:16:06 2018	1516436166	359	383	743	184
Sat Jan 20 08:15:13 2018	1516436113	327	416	743	386
Sat Jan 20 08:16:27 2018	1516436187	298	444	743	178
Sat Jan 20 08:16:27 2018	1516436187	251	492	743	226
Sat Jan 20 08:16:06 2018	1516436166	361	382	743	182
Sat Jan 20 08:16:32 2018	1516436192	399	344	743	64
Sat Jan 20 08:16:06 2018	1516436166	360	384	743	185
Sat Jan 20 08:16:06 2018	1516436166	361	382	744	182
Sat Jan 20 08:16:06 2018	1516436166	363	380	744	178
Sat Jan 20 08:15:07 2018	1516436107	393	351	744	343
Sat Jan 20 08:16:06 2018	1516436166	359	384	744	185
Sat Jan 20 08:16:06 2018	1516436166	366	378	744	177
Sat Jan 20 08:16:06 2018	1516436166	372	372	744	173
Sat Jan 20 08:16:06 2018	1516436166	365	379	744	178
Sat Jan 20 08:15:21 2018	1516436121	359	385	744	125
Sat Jan 20 08:15:27 2018	1516436127	427	317	744	156
Sat Jan 20 08:15:21 2018	1516436121	360	385	745	161
Sat Jan 20 08:15:49 2018	1516436149	214	530	745	400
Sat Jan 20 08:16:06 2018	1516436166	362	382	745	182
Sat Jan 20 08:15:07 2018	1516436107	398	347	745	89
Sat Jan 20 08:16:00 2018	1516436160	412	332	745	138
Sat Jan 20 08:15:07 2018	1516436107	393	351	745	345
Sat Jan 20 08:15:33 2018	1516436133	486	259	745	142
Sat Jan 20 08:15:34 2018	1516436134	295	450	745	127
Sat Jan 20 08:16:06 2018	1516436166	359	386	745	186
Sat Jan 20 08:16:06 2018	1516436166	360	385	745	188
Sat Jan 20 08:15:31 2018	1516436131	365	380	745	194
Sat Jan 20 08:15:07 2018	1516436107	394	352	745	345
Sat Jan 20 08:16:06 2018	1516436166	360	386	745	312
Sat Jan 20 08:16:06 2018	1516436166	371	374	745	306
Sat Jan 20 08:15:07 2018	1516436107	398	348	746	160
Sat Jan 20 08:15:27 2018	1516436127	287	459	746	442
Sat Jan 20 08:15:07 2018	1516436107	397	349	746	161
Sat Jan 20 08:16:06 2018	1516436166	361	385	746	186
Sat Jan 20 08:16:06 2018	1516436166	360	386	746	186
Sat Jan 20 08:15:27 2018	1516436127	390	357	746	332
Sat Jan 20 08:16:06 2018	1516436166	359	387	746	368
Sat Jan 20 08:16:03 2018	1516436163	345	402	747	167
Sat Jan 20 08:15:31 2018	1516436131	366	381	747	185
Sat Jan 20 08:15:31 2018	1516436131	365	381	747	195
Sat Jan 20 08:16:06 2018	1516436166	360	386	747	317
Sat Jan 20 08:15:07 2018	1516436107	412	335	747	168
Sat Jan 20 08:16:32 2018	1516436192	402	345	747	64
Sat Jan 20 08:15:58 2018	1516436158	465	282	747	134
Sat Jan 20 08:15:31 2018	1516436131	366	381	747	194
Sat Jan 20 08:15:22 2018	1516436122	255	492	747	211
Sat Jan 20 08:16:00 2018	1516436160	414	332	747	226
Sat Jan 20 08:15:07 2018	1516436107	397	350	747	162
Sat Jan 20 08:15:31 2018	1516436131	366	381	747	195
Sat Jan 20 08:16:06 2018	1516436166	361	386	747	188
Sat Jan 20 08:15:58 2018	1516436158	465	282	747	269
Sat Jan 20 08:15:28 2018	1516436128	357	390	747	238
Sat Jan 20 08:15:28 2018	1516436128	389	358	747	215
Sat Jan 20 08:15:07 2018	1516436107	397	351	747	163
Sat Jan 20 08:15:38 2018	1516436138	351	397	748	213
Sat Jan 20 08:15:07 2018	1516436107	397	351	748	184
Sat Jan 20 08:16:06 2018	1516436166	361	387	748	189
Sat Jan 20 08:15:51 2018	1516436151	305	443	748	104
Sat Jan 20 08:15:40 2018	1516436140	500	248	748	171
Sat Jan 20 08:15:27 2018	1516436127	427	321	748	312
Sat Jan 20 08:16:06 2018	1516436166	365	384	748	185
Sat Jan 20 08:15:28 2018	1516436128	384	365	749	314
