starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 20 08:29:34 2018	1516436974	750	225	975	176
Sat Jan 20 08:30:08 2018	1516437008	553	422	975	293
Sat Jan 20 08:28:50 2018	1516436930	304	671	975	630
Sat Jan 20 08:30:12 2018	1516437012	499	475	975	377
Sat Jan 20 08:29:06 2018	1516436946	724	251	975	188
Sat Jan 20 08:29:45 2018	1516436985	547	428	975	360
Sat Jan 20 08:28:40 2018	1516436920	258	717	975	375
Sat Jan 20 08:30:08 2018	1516437008	328	647	975	592
Sat Jan 20 08:28:40 2018	1516436920	258	717	975	489
Sat Jan 20 08:29:56 2018	1516436996	327	648	975	513
Sat Jan 20 08:29:57 2018	1516436997	708	267	975	236
Sat Jan 20 08:28:40 2018	1516436920	259	717	975	436
Sat Jan 20 08:30:12 2018	1516437012	485	491	976	449
Sat Jan 20 08:29:55 2018	1516436995	707	269	976	208
Sat Jan 20 08:30:08 2018	1516437008	274	702	976	542
Sat Jan 20 08:30:12 2018	1516437012	780	196	976	167
Sat Jan 20 08:30:08 2018	1516437008	553	423	976	395
Sat Jan 20 08:28:50 2018	1516436930	316	660	976	618
Sat Jan 20 08:29:16 2018	1516436956	743	233	976	203
Sat Jan 20 08:28:40 2018	1516436920	259	717	976	497
Sat Jan 20 08:29:56 2018	1516436996	500	476	976	192
Sat Jan 20 08:29:57 2018	1516436997	708	269	976	241
Sat Jan 20 08:30:08 2018	1516437008	328	648	976	593
Sat Jan 20 08:28:52 2018	1516436932	556	420	976	408
Sat Jan 20 08:30:08 2018	1516437008	328	648	976	593
Sat Jan 20 08:30:03 2018	1516437003	312	664	976	315
Sat Jan 20 08:28:40 2018	1516436920	308	668	976	639
Sat Jan 20 08:30:08 2018	1516437008	553	424	977	360
Sat Jan 20 08:29:53 2018	1516436993	715	262	977	230
Sat Jan 20 08:30:08 2018	1516437008	553	424	977	396
Sat Jan 20 08:29:45 2018	1516436985	548	429	977	390
Sat Jan 20 08:30:18 2018	1516437018	223	754	977	556
Sat Jan 20 08:28:40 2018	1516436920	311	666	977	629
Sat Jan 20 08:30:08 2018	1516437008	275	702	977	543
Sat Jan 20 08:30:12 2018	1516437012	477	500	977	367
Sat Jan 20 08:30:12 2018	1516437012	731	246	977	205
Sat Jan 20 08:29:56 2018	1516436996	689	288	977	195
Sat Jan 20 08:30:19 2018	1516437019	799	178	977	175
Sat Jan 20 08:29:49 2018	1516436989	547	431	977	388
Sat Jan 20 08:28:40 2018	1516436920	322	656	977	618
Sat Jan 20 08:30:08 2018	1516437008	330	648	977	619
Sat Jan 20 08:28:40 2018	1516436920	259	719	977	669
Sat Jan 20 08:30:25 2018	1516437025	411	566	977	509
Sat Jan 20 08:29:18 2018	1516436958	313	664	978	252
Sat Jan 20 08:28:44 2018	1516436924	225	753	978	391
Sat Jan 20 08:29:34 2018	1516436974	750	227	978	221
Sat Jan 20 08:28:43 2018	1516436923	563	414	978	411
Sat Jan 20 08:28:40 2018	1516436920	279	699	978	470
Sat Jan 20 08:30:08 2018	1516437008	553	424	978	342
Sat Jan 20 08:30:10 2018	1516437010	441	537	978	426
Sat Jan 20 08:28:44 2018	1516436924	251	727	978	634
Sat Jan 20 08:29:45 2018	1516436985	628	349	978	332
Sat Jan 20 08:28:40 2018	1516436920	310	668	978	647
Sat Jan 20 08:30:08 2018	1516437008	332	646	978	487
Sat Jan 20 08:28:40 2018	1516436920	258	720	978	683
Sat Jan 20 08:29:56 2018	1516436996	502	476	978	192
Sat Jan 20 08:30:12 2018	1516437012	552	427	978	328
Sat Jan 20 08:29:45 2018	1516436985	547	431	978	411
Sat Jan 20 08:30:08 2018	1516437008	332	647	978	592
Sat Jan 20 08:30:08 2018	1516437008	274	705	978	650
Sat Jan 20 08:30:10 2018	1516437010	438	541	978	538
Sat Jan 20 08:30:28 2018	1516437028	646	333	978	273
Sat Jan 20 08:30:12 2018	1516437012	782	197	979	167
Sat Jan 20 08:28:40 2018	1516436920	311	667	979	637
Sat Jan 20 08:30:15 2018	1516437015	459	520	979	297
Sat Jan 20 08:28:40 2018	1516436920	259	720	979	683
Sat Jan 20 08:30:21 2018	1516437021	396	583	979	486
Sat Jan 20 08:28:55 2018	1516436935	605	374	979	356
Sat Jan 20 08:30:15 2018	1516437015	459	520	979	297
Sat Jan 20 08:30:15 2018	1516437015	460	519	979	296
Sat Jan 20 08:29:56 2018	1516436996	691	289	979	196
Sat Jan 20 08:30:08 2018	1516437008	554	425	980	397
Sat Jan 20 08:28:54 2018	1516436934	472	507	980	447
Sat Jan 20 08:29:06 2018	1516436946	711	269	980	223
Sat Jan 20 08:30:15 2018	1516437015	459	520	980	297
Sat Jan 20 08:30:25 2018	1516437025	605	375	980	371
Sat Jan 20 08:29:56 2018	1516436996	692	289	980	195
Sat Jan 20 08:30:08 2018	1516437008	279	701	980	542
Sat Jan 20 08:30:08 2018	1516437008	553	427	980	399
Sat Jan 20 08:30:21 2018	1516437021	421	559	980	522
Sat Jan 20 08:29:56 2018	1516436996	692	289	980	196
Sat Jan 20 08:29:56 2018	1516436996	691	289	980	196
Sat Jan 20 08:30:08 2018	1516437008	534	446	980	323
Sat Jan 20 08:30:08 2018	1516437008	534	446	980	323
Sat Jan 20 08:30:08 2018	1516437008	535	446	980	323
Sat Jan 20 08:28:44 2018	1516436924	260	721	981	611
Sat Jan 20 08:30:08 2018	1516437008	345	636	981	607
Sat Jan 20 08:29:45 2018	1516436985	768	212	981	192
Sat Jan 20 08:30:08 2018	1516437008	560	421	981	301
