starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 09 15:08:33 2018	1520608113	694	718	1412	612
Fri Mar 09 15:07:02 2018	1520608022	688	724	1412	704
Fri Mar 09 15:06:32 2018	1520607992	601	811	1412	784
Fri Mar 09 15:06:31 2018	1520607991	688	725	1412	700
Fri Mar 09 15:07:02 2018	1520608022	743	669	1412	649
Fri Mar 09 15:06:33 2018	1520607993	468	944	1412	477
Fri Mar 09 15:06:31 2018	1520607991	689	723	1412	699
Fri Mar 09 15:06:44 2018	1520608004	679	733	1412	714
Fri Mar 09 15:07:05 2018	1520608025	459	953	1412	488
Fri Mar 09 15:08:16 2018	1520608096	589	823	1412	720
Fri Mar 09 15:06:47 2018	1520608007	689	723	1412	702
Fri Mar 09 15:06:47 2018	1520608007	682	730	1412	704
Fri Mar 09 15:06:33 2018	1520607993	468	944	1412	472
Fri Mar 09 15:07:06 2018	1520608026	684	728	1412	706
Fri Mar 09 15:07:02 2018	1520608022	744	668	1412	648
Fri Mar 09 15:06:47 2018	1520608007	681	731	1412	705
Fri Mar 09 15:06:32 2018	1520607992	752	661	1412	641
Fri Mar 09 15:07:11 2018	1520608031	662	751	1412	686
Fri Mar 09 15:06:47 2018	1520608007	738	675	1412	657
Fri Mar 09 15:07:49 2018	1520608069	664	748	1412	730
Fri Mar 09 15:06:44 2018	1520608004	768	645	1412	625
Fri Mar 09 15:07:05 2018	1520608025	459	953	1412	473
Fri Mar 09 15:06:14 2018	1520607974	618	794	1412	764
Fri Mar 09 15:06:32 2018	1520607992	601	811	1412	784
Fri Mar 09 15:06:33 2018	1520607993	469	944	1412	465
Fri Mar 09 15:07:23 2018	1520608043	540	873	1412	851
Fri Mar 09 15:06:32 2018	1520607992	601	811	1413	784
Fri Mar 09 15:07:58 2018	1520608078	748	665	1413	594
Fri Mar 09 15:07:23 2018	1520608043	540	873	1413	851
Fri Mar 09 15:07:02 2018	1520608022	745	667	1413	647
Fri Mar 09 15:06:31 2018	1520607991	686	727	1413	706
Fri Mar 09 15:07:49 2018	1520608069	747	665	1413	648
Fri Mar 09 15:06:32 2018	1520607992	601	811	1413	784
Fri Mar 09 15:06:44 2018	1520608004	680	733	1413	714
Fri Mar 09 15:07:49 2018	1520608069	665	748	1413	730
Fri Mar 09 15:06:44 2018	1520608004	757	655	1413	636
Fri Mar 09 15:07:05 2018	1520608025	460	953	1413	462
Fri Mar 09 15:06:47 2018	1520608007	738	675	1413	657
Fri Mar 09 15:06:33 2018	1520607993	469	944	1413	470
Fri Mar 09 15:07:06 2018	1520608026	685	728	1413	706
Fri Mar 09 15:08:16 2018	1520608096	608	805	1413	710
Fri Mar 09 15:07:55 2018	1520608075	653	760	1413	741
Fri Mar 09 15:06:31 2018	1520607991	689	724	1413	699
Fri Mar 09 15:06:33 2018	1520607993	469	944	1413	472
Fri Mar 09 15:07:49 2018	1520608069	674	738	1413	721
Fri Mar 09 15:06:47 2018	1520608007	738	675	1413	657
Fri Mar 09 15:07:05 2018	1520608025	460	953	1413	469
Fri Mar 09 15:07:49 2018	1520608069	747	666	1413	648
Fri Mar 09 15:06:44 2018	1520608004	757	656	1413	636
Fri Mar 09 15:08:16 2018	1520608096	589	824	1413	729
Fri Mar 09 15:07:13 2018	1520608033	685	728	1413	700
Fri Mar 09 15:06:33 2018	1520607993	469	944	1413	464
Fri Mar 09 15:06:31 2018	1520607991	683	730	1413	705
Fri Mar 09 15:07:55 2018	1520608075	646	767	1413	744
Fri Mar 09 15:06:44 2018	1520608004	679	734	1413	715
Fri Mar 09 15:07:55 2018	1520608075	646	767	1413	744
Fri Mar 09 15:07:06 2018	1520608026	685	729	1413	707
Fri Mar 09 15:06:32 2018	1520607992	602	812	1413	785
Fri Mar 09 15:06:44 2018	1520608004	755	659	1413	639
Fri Mar 09 15:07:55 2018	1520608075	653	760	1413	741
Fri Mar 09 15:07:13 2018	1520608033	686	727	1413	701
Fri Mar 09 15:06:31 2018	1520607991	689	724	1413	700
Fri Mar 09 15:06:31 2018	1520607991	683	731	1413	706
Fri Mar 09 15:07:06 2018	1520608026	684	729	1413	708
Fri Mar 09 15:07:06 2018	1520608026	683	730	1413	708
Fri Mar 09 15:06:31 2018	1520607991	682	731	1413	706
Fri Mar 09 15:07:55 2018	1520608075	647	767	1413	743
Fri Mar 09 15:07:49 2018	1520608069	664	749	1413	731
Fri Mar 09 15:06:32 2018	1520607992	602	812	1413	785
Fri Mar 09 15:07:55 2018	1520608075	650	764	1413	745
Fri Mar 09 15:07:02 2018	1520608022	673	741	1413	721
Fri Mar 09 15:06:32 2018	1520607992	602	812	1413	785
Fri Mar 09 15:08:07 2018	1520608087	799	614	1413	555
Fri Mar 09 15:06:31 2018	1520607991	763	651	1413	629
Fri Mar 09 15:06:15 2018	1520607975	774	640	1414	559
Fri Mar 09 15:07:13 2018	1520608033	686	728	1414	702
Fri Mar 09 15:07:15 2018	1520608035	728	686	1414	603
Fri Mar 09 15:07:55 2018	1520608075	652	762	1414	743
Fri Mar 09 15:07:49 2018	1520608069	665	748	1414	731
Fri Mar 09 15:06:14 2018	1520607974	620	793	1414	763
Fri Mar 09 15:06:31 2018	1520607991	762	652	1414	630
Fri Mar 09 15:06:31 2018	1520607991	786	628	1414	606
Fri Mar 09 15:06:33 2018	1520607993	469	944	1414	472
Fri Mar 09 15:07:13 2018	1520608033	686	728	1414	702
Fri Mar 09 15:06:14 2018	1520607974	618	796	1414	766
Fri Mar 09 15:07:55 2018	1520608075	646	768	1414	744
Fri Mar 09 15:06:47 2018	1520608007	682	732	1414	706
Fri Mar 09 15:07:06 2018	1520608026	685	729	1414	707
Fri Mar 09 15:07:55 2018	1520608075	646	767	1414	744
Fri Mar 09 15:07:55 2018	1520608075	735	678	1414	656
Fri Mar 09 15:06:31 2018	1520607991	763	651	1414	629
Fri Mar 09 15:07:13 2018	1520608033	686	728	1414	702
Fri Mar 09 15:06:31 2018	1520607991	743	670	1414	648
Fri Mar 09 15:07:55 2018	1520608075	647	767	1414	744
Fri Mar 09 15:07:13 2018	1520608033	687	727	1414	702
Fri Mar 09 15:07:55 2018	1520608075	646	768	1414	745
Fri Mar 09 15:07:13 2018	1520608033	681	733	1414	706
Fri Mar 09 15:06:14 2018	1520607974	619	795	1414	764
Fri Mar 09 15:06:31 2018	1520607991	701	713	1414	690
Fri Mar 09 15:07:06 2018	1520608026	684	730	1414	709
Fri Mar 09 15:07:55 2018	1520608075	647	767	1414	744
Fri Mar 09 15:07:13 2018	1520608033	682	733	1414	706
Fri Mar 09 15:06:32 2018	1520607992	685	729	1414	708
Fri Mar 09 15:07:44 2018	1520608064	732	682	1414	658
Fri Mar 09 15:07:55 2018	1520608075	646	768	1414	745
Fri Mar 09 15:06:31 2018	1520607991	795	619	1414	597
Fri Mar 09 15:07:02 2018	1520608022	672	742	1414	716
Fri Mar 09 15:06:31 2018	1520607991	683	731	1414	708
Fri Mar 09 15:07:55 2018	1520608075	747	667	1414	645
Fri Mar 09 15:07:55 2018	1520608075	712	702	1414	679
Fri Mar 09 15:07:06 2018	1520608026	684	730	1414	709
Fri Mar 09 15:07:55 2018	1520608075	714	700	1414	678
Fri Mar 09 15:07:55 2018	1520608075	646	768	1414	745
Fri Mar 09 15:06:32 2018	1520607992	680	734	1414	708
Fri Mar 09 15:07:06 2018	1520608026	684	731	1414	709
Fri Mar 09 15:06:31 2018	1520607991	683	732	1414	709
Fri Mar 09 15:06:31 2018	1520607991	683	731	1414	709
Fri Mar 09 15:06:31 2018	1520607991	684	731	1415	707
Fri Mar 09 15:07:49 2018	1520608069	657	758	1415	736
Fri Mar 09 15:06:34 2018	1520607994	758	656	1415	632
Fri Mar 09 15:07:08 2018	1520608028	687	727	1415	705
Fri Mar 09 15:06:47 2018	1520608007	688	726	1415	700
Fri Mar 09 15:07:49 2018	1520608069	758	657	1415	637
Fri Mar 09 15:06:47 2018	1520608007	682	733	1415	703
Fri Mar 09 15:07:49 2018	1520608069	657	758	1415	736
Fri Mar 09 15:07:55 2018	1520608075	713	702	1415	680
Fri Mar 09 15:07:49 2018	1520608069	747	668	1415	648
Fri Mar 09 15:07:23 2018	1520608043	672	742	1415	721
Fri Mar 09 15:07:55 2018	1520608075	652	762	1415	739
Fri Mar 09 15:06:31 2018	1520607991	743	672	1415	650
Fri Mar 09 15:06:21 2018	1520607981	707	708	1415	686
Fri Mar 09 15:07:02 2018	1520608022	672	743	1415	718
Fri Mar 09 15:07:49 2018	1520608069	664	751	1415	733
Fri Mar 09 15:07:49 2018	1520608069	665	750	1415	732
Fri Mar 09 15:07:49 2018	1520608069	657	758	1415	736
Fri Mar 09 15:07:49 2018	1520608069	747	668	1415	648
Fri Mar 09 15:07:55 2018	1520608075	714	701	1415	678
Fri Mar 09 15:08:00 2018	1520608080	550	865	1415	842
